MUNICIPIO;VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
TUQUERRES;POTRERILLO AZUFRAL;LA HOJA;323;30/12/2024;1,107222;77,702778;https://drive.google.com/file/d/1A-iP_lSJNW4BkoJ41D75-kpy9IijR-5_/view?usp=sharing
TUQUERRES;PESCADILLO;PESCADILLO;;;1,093778;77,622556;https://drive.google.com/file/d/1qqSwMkrq2UCEihqBlv6K4dbBzZpvzBMj/view?usp=sharing
TUQUERRES;SAN ROQUE ALTO;LA HORTIGA;;;1,091111;77,675556;
TUQUERRES;DOS QUEBRADAS;LA CHORRERA;;;1,10335;77,608789;
TUQUERRES;LA JARDINERA;TUTACHAG;313;30/12/2024;1,063056;77,617222;https://drive.google.com/file/d/14NzKPyzKhjMpm5vuMrJoNipCcMPE3PW9/view?usp=sharing
TUQUERRES;YASCUAL VEREDA LA ACEQUIA;SAN FRANCISCO LA SEQUIA;309;26/12/2024;1,188;77,631;
TUQUERRES;SANTA ISABEL;NACIMIENTO QUITASOL;;;1,123889;77,596944;https://drive.google.com/file/d/1X3Bg_d6MQCHRVyTsx_Wq1-YOzoFRb4ok/view?usp=sharing
TUQUERRES;NANGAN CORREGIMIENTO OLAYA;NANGAN;;;1,132158;77,633342;
TUQUERRES;TUTACHAG;MOQUILLO 1;305;26/12/2024;1,076333;77,634039;
TUQUERRES;TUTACHAG;MOQUILLO 2;310;26/12/2024;1,076333;77,634039;
TUQUERRES;SAN ROQUE ALTO;LOS PATOS;;;1,091111;77,675556;
TUQUERRES;ALTO RINCON GUAYAQUILA;OJO DE AGUA;;;1,12;77,605;https://drive.google.com/file/d/17-6rUiN8nnasWdFNU-QqjSJQC87a2qSN/view?usp=sharing
TUQUERRES;GUASCUAL VEREDA LA ASEQUIA;ALTO VIEJO;;;1,188;77,631;https://drive.google.com/file/d/1u8y5aaOhdaZUALTIwhV2_hlKTivGxF9e/view?usp=sharing
TUQUERRES;SAN JOSE DE ALPAN;EL PARAMO;;;1,180278;77,585278;
TUQUERRES;POLACHAYAN;MOJONES GETIAL;;;1,178106;77,587442;
TUQUERRES;CIENAGA - CORREGIMIENTO SANTANDER;CHAITAN;;;1,110744;77,618733;
TUQUERRES;RANCHO GRANDE;LAS PEÑAS;;;1,096294;77,598861;
TUQUERRES;SANTA ISABEL;QUITASOL;;;1,123889;77,596944;
TUQUERRES;SAN JOSE DE ALPAN;EL COMUN LOS LAURELES;;;1,180278;77,585278;https://drive.google.com/file/d/1Lm2EqpS3imdH_HrIUyeGvLL-uiAtteW1/view?usp=sharing
TUQUERRES;OLAYA;LOMA DE PATIÑOS;;;1,132158;77,633342;
YACUANQUER;CHAPACUAL;LA GUACA;;;1,094919;77,438983;https://drive.google.com/file/d/1zKns-BcFdKU2hzO9AKO2qhm2ITuKsl1D/view?usp=sharing
YACUANQUER;EL ROSARIO;OJO DE AGUA;;;1,123097;77,400975;https://drive.google.com/file/d/1ZagTNlPH_PhMz7NlXXXycga5cfk9G6-D/view?usp=sharing
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
