MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
PUPIALES;SAN MARCOS;ARROYO EL TIGRE;365;2023-12-29;0.917945;-77.612272;
PUPIALES;SAN MARCOS;ARROYO LOS PATOS;378;2023-12-29;0.917945;-77.612272;
PUPIALES;SAN MARCOS;ARROYO LOS TRES DUENDES;366;2023-12-29;0.917945;-77.612272;
PUPIALES;SAN MARCOS;ARROYO MINA DE OROS;376;2023-12-29;0.917945;-77.612272;
RICAURTE;EL CARRIZAL;EL CARRIZAL;146;2023-07-06;1.219844;-78.078989;
ROBERTO PAYAN;LIMONAR;BRISAS DE MUÑAMBI;38;2023-02-16;2.040081;-78.320297;
ROBERTO PAYAN;YACUN;LAS TUNDAS;43;2023-02-27;1.661206;-78.355067;
SAMANIEGO;NO REGISTRA;EL PICACHO;18;2023-01-23;1.337225;-77.583397;
SAMANIEGO;SAN JUAN;ARROYO EL YARUMO;26;2023-02-03;1.330736;-77.586011;
SAMANIEGO;LA CUCHILLA;EL PARAMO;49;2023-03-06;1.342706;-77.569758;
SAMANIEGO;SAN JUAN;SAN JUAN;103;2023-05-19;1.330736;-77.586011;
SAMANIEGO;EL CARRIZAL;EL CARRIZAL;94;2023-05-09;1.220889;-77.572;https://docs.google.com/document/d/1PKglS6_0L7Y5HnlkJUbQxowg-9lSrSjb/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
SAMANIEGO;CARTAGENA;QUEBRADA LOS ORTEGA;149;2023-07-06;1.314817;-77.603982;
SAMANIEGO;EL CARRIZAL / SAN FRANCISCO;PARAMANO DE ALMORZADEROS;129;2023-06-20;1.315111;-77.548556;https://docs.google.com/document/d/1A5UUA3pH4hRtP49gsA-ldU7f_UJCP_PW/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
SAMANIEGO;PINAL;SAN GUILLERMO;196;2023-08-24;1.459631;-77.5876;
SAMANIEGO;BAJO CANADA;QUEBRADA CANADA;185;2023-08-16;1.49769;-77.642494;
SAMANIEGO;EL LLANO;EL ESLABON;203;2023-08-29;1.415556;-77.578027;
SAMANIEGO;LA CEJA;LA PALMA;279;2023-10-30;1.304119;-77.585733;
SAMANIEGO;SANTA ROSA;PALO QUEMADO;256;2023-10-11;1.327206;-77.614206;
SAMANIEGO;CILINDRO;MICRO CUENCA EL CILINDRO;283;2023-11-17;1.380472;-77.606944;https://drive.google.com/file/d/1M0LL8D3niOijrgzb40TMZTeYTF3_Jrf9/view?usp=sharing
SAMANIEGO;ALTO CARTAGENA;OJO DE AGUA;343;2023-12-19;1.332683;-77.600372;
SAMANIEGO;EL PICHUELO;ALTO PACUAL;351;2023-12-19;1.365308;-77.616397;
SAN BERNARDO;PINDAL BAJO;EL SILENCIO;167;2023-07-18;1.504126;-77.059266;
SAN BERNARDO;SAN ANTONIO ALTO;RIO QUIÑA;243;2023-10-03;1.531161;-77.0576;
SAN LORENZO;CORPUS;EL MOTILON;9;2023-01-17;1.506438;-77.16726;
SAN LORENZO;SAN VICENTE;LA MONTAÑA;66;2023-04-19;1.598906;-77.193979;
SAN LORENZO;CAJETO;LA PEÑA;41;2023-02-27;1.495697;-77.226136;
SAN LORENZO;CORPUS;CORPUS;67;2023-04-19;1.506438;-77.16726;
SAN LORENZO;SANTA MARTA;QUEBRADA LA MARUCHA;86;2023-05-04;1.506228;-77.208136;
SAN LORENZO;SANTA MARTA;ZARAGOZA LA MARUCHA;79;2023-05-02;1.506228;-77.208136;
SAN LORENZO;SAN JOSE ALTO;EL CASCO EL RAMAL;89;2023-05-08;1.575353;-77.195212;
SAN LORENZO;VALPARAISO BAJO;EL MOTILON;99;2023-05-15;1.601184;-77.210456;
SAN LORENZO;VALPARAISO BAJO;EL CARRIZAL;100;2023-05-15;1.601184;-77.210456;
SAN LORENZO;LA HONDA;PEÑAS BLANCAS;170;2023-07-24;1.539677;-77.251874;
SAN LORENZO;EL TABLON;EL TABLON;240;2023-09-28;1.599804;-77.256521;
SAN LORENZO;LA PRADERA;LA GUAYACANA;295;2023-11-28;1.513904;-77.231846;
SAN LORENZO;LA PRADERA;LA FLORESTA;300;2023-12-04;1.513904;-77.231846;
SAN PABLO;CAMPOBELLO;PALO GACHO;211;2023-08-01;1.663103;-77.005444;
SAN PABLO;EL MESON;CERRO EL BAILE;350;2023-12-19;1.65948;-76.934755;
SAN PABLO;EL DIAMANTE;EL CERRO;374;2023-12-29;1.683986;-77.050167;
SAN PABLO;CABUYALES LAGUNITAS;CHARGUAYACO;206;2023-08-29;1.661872;-76.975244;
SAN PEDRO DE CARTAGO;BUENOS AIRES;CANCHALA;63;2023-04-18;1.545856;-77.129661;https://drive.google.com/file/d/11PbtohTS-9Gt7f0Fdc_7RZtWpwKTFKlp/view?usp=sharing
SAN PEDRO DE CARTAGO;BUENOS AIRES;SANTA BARBARA;64;2023-04-18;1.545856;-77.129661;
SAN PEDRO DE CARTAGO;ARENAL;EL MOTILON;116;2023-06-14;1.508847;-77.115272;https://drive.google.com/file/d/1cm9adVmzFFVlx3ihCAnFZBz3UN1itE_N/view?usp=sharing
SAN PEDRO DE CARTAGO;BUENOS AIRES;EL VIRINGO;108;2023-06-01;1.545856;-77.129661;https://drive.google.com/file/d/1TsK3iD5E8qxMmPlJ9b51l4cZOBKgSVfS/view?usp=sharing
SAN PEDRO DE CARTAGO;ARENAL;LOS ROBLES;118;2023-06-14;1.508847;-77.115272;
SAN PEDRO DE CARTAGO;SAN ISIDRO;SAN ISIDRO ALTO;109;2023-06-01;1.539906;-77.10779;
